drama_id,drama_name,drama_cover_url,drama_desc,drama_tags,talent_name,category_name,video_num,last_num_position
11,天君门徒,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649421688123393_new_17308150978814218.jpg, 只见汉子戴上一枚扳指，紧接着就泛出一阵金色霞光，威慑全场。随后汉子摇身一变，竟是脱胎换骨。看到这一幕，小伙这才惊骇的发明，那个被本身请来当小弟的汉子竟是登峰造极的天君。只因3天前小伙救下身受重伤导致不测掉忆的汉子，而小伙也是以搪突了追杀汉子的黑龙会，给弟弟招来了杀身之祸。为了救弟弟的生命，小伙请来了医术顶尖的神医，然而弟弟的伤势极重，就连医术超群的神医也十分棘手。然而被小伙捡出来的汉子见状出来提示，甚至还给出施针的办法，小伙闻言也只能逝世马当活马医。让神医尝尝汉子说的这个办法，然而神奇的是，神医按照这个办法给弟弟治疗，竟然直接让命悬一线的弟弟转危为安……,"天君失忆,救弟求医,神奇扳指",,,85,85.0
12,绝品太子爷,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642839015473154_17310166892981606.jpg, 堂堂太子妃当众被人褪去衣服，朝中大年夜臣竟无一人阻挡，只因当朝太子是个傻子，匈奴来犯无人可以或许领兵出征，只能将太子妃送去和亲，就在这春景春色乍泄之际傻子太子及时赶到，然而世人不知道的是如今的太子早已恢复正常，本来就在刚才21世纪的外卖小哥给老婆打德律风，只听见老婆那头在喊救命，等他赶到时老婆因不堪受上司欺辱跳楼身亡，赵阳亲眼目睹老婆坠楼，悲哀欲绝的他逝世在了老婆身边，没想到下一秒就穿越到了太子身上....,"太子妃,当众受辱,穿越,傻子太子",,,78,78.0
13,如此神秘的她,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642745066196993_17310719258322287.jpg," 《如此神秘的她》是一部共97集的电视剧，剧情主要讲述了女主角沈溪的故事。在母亲的眼中，沈溪的唯一价值似乎只在于她能够作为彩礼换取的经济利益。在一次相亲中，沈溪意外地遇到了陈川，两人在冒昧之下匆匆领取了结婚证。陈川并没有向沈溪透露自己的真实身份，两人开始了平淡却温馨的小日子。

然而，沈溪的生活并非一帆风顺。她遭到了两位中学同学的欺凌，甚至被一位女同学的丈夫无理骚扰。这位女同学性格恶毒、刁蛮，她恶意诬陷沈溪与校领导有不正当关系，导致沈溪失去了工作。

在沈溪陷入困境之际，陈川的真实身份被沈溪的女同学罗研娜意外得知。身为女演员的罗研娜收入丰厚，为了破坏陈川与沈溪的婚姻，她不惜花费巨额资金聘请演员制造误会，企图自己上位，嫁给首富陈川。

直到最后，陈川才惊觉沈溪竟然是他五年前在美国一夜情的对象，两人当时甚至在美国匆匆结婚。如今，两人终于走到了一起，经历了种种波折后终成眷属。这个故事虽然充满戏剧性，但也让人感受到了生活中的趣味。创作总是源于生活，却又高于生活，让人回味无穷。",,电影,,97,97.0
14,双面主妇,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642779674587138_17310812009341898.jpg, 杰出企业家被控蓄意杀人，人证为妻子。三个月前全家旅行，妻子目睹丈夫推父亲下悬崖，震惊又冷静。警察介入，故事充满悬念。主妇面临艰难抉择，温文尔雅的丈夫为何如此？她该如何自处？剧集展现家庭与人性的复杂，在真相与情感中挣扎，双面主妇的命运牵动人心，开启一场惊心动魄的揭秘之旅。,,电影,,51,51.0
15,真假尊上,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642812686004225_17310140716145828.jpg, 镇世神主沈默为了报答秦家大小姐秦如雪救命之恩，隐藏身份入赘秦家，暗中襄助秦家崛起。在追求理解和控制这些能力的过程中，他发现自己不仅要面对外部威胁，还要应对内心的挑战和抉择。,"赘婿逆袭,隐藏身份,报恩",,,78,78.0
16,七个嫂子独宠我,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649443758551042_new_17308130011856158.jpg, 大年夜哥不测去世，7个准嫂子把小伙压在地板上，要他把遗产分出来，给她们当芳华损掉的。你大年夜哥脚踏七只船，害得我们赔了夫人又折兵。可小伙说，我大年夜哥就是个农平易近，哪来的什么遗产？独一的遗产就是欠了一屁股的债和这栋破房子，七个嫂子一听什么农平易近，那岂不是本身白白浪费时光，没有拿到钱，让嫂子们异常朝气。不过她们很快就想到了一个绝妙的点，因为小伙跟他大年夜哥是双胞胎兄弟，同样是个帅气逼人的型男。于是几人决定让他轮流给本身打工还债，趁便弥补一下没有男同伙的空白。但他先跟谁走却成了一个难题，大年夜家都想获得小伙的优先应用权，不可，你跟我，你跟我，我跟他，你选谁？最后没办法，只能按年纪分派。柳霓长凭着25岁大年夜嫂的身份，成功的拿到了小伙三个月的劳动合同……,,电影,,100,100.0
17,潜龙出渊,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642785726840833_17310112371131985.jpg, 江朝带女儿进门，看到愤怒一幕，欲动手被唐雪宜制止，怕他再犯罪坐牢。江朝安慰女儿后欲带妻女离开，此时唐老出现。江朝命运如何转折？家庭矛盾与未知变数交织。在这紧张局势下，潜龙江朝能否化解危机？一场充满悬念与情感冲突的故事拉开帷幕，令人期待他们的命运走向，看江朝如何在困境中崛起，守护家人。,,电影,,80,80.0
18,妖孽出山,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649437819416577_new_1730813541764304.jpg, 女人和男人走出来，女人对男人说KTV的事儿，谢谢你救了我，我确实记得娃娃亲这个事，但是现在已经是21世纪了，别人遵守指腹为婚，但是我不会和你结婚的。男人却说你误会了，我是来退婚的，我这个人，一生放荡不计，爱自由，你只要答应跟我去孟家，然后跟着我爷爷当面跟我退婚，我就帮你还清你欠下的债务。女人却说我欠5个亿，五个亿不是你这种普通人可以赚到的，男人却表示才5个亿而已，不过我现在手头确实有点不太方便，要是以前啊，我分分钟钟帮你还清，不过你放心啊，我会通过我的全部力量来帮你还钱的。女人说好啊，如果你帮我还清一身债务，我就跟你去你家当着爷爷的面和你退婚，男人说好一言为定啊，这时女人接到闺蜜打来的电话，说让女人赶快回去，债主找上门了……,,电影,,75,75.0
19,逃婚后被总裁宠上瘾,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642762186584066_17310099867485843.jpg, 《逃婚后被总裁宠上瘾》是一部在网络短剧，由司念主演。该剧讲述了一个送外卖的男人和骑机车的女人意外相撞的故事。在这次意外中，女人询问男人是否需要去医院，并提出赔偿手机损失。男人最初要求赔偿一万，但女人发现余额不足，随后男人降低要求至二百，结果女人的账户依旧显示余额不足。就在这时，有人追赶过来，男人为了躲避追赶，突然拉住女人并亲吻了她，以此作为让她帮忙的条件。这部剧以其紧凑的剧情和引人入胜的情节获得了观众的喜爱。,,电影,,77,77.0
20,重复千年后成为都市战神,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642801067782145_1731021512927108.jpg, 吴辰被困7月7日千年，学会了人类所有知识，掌握了这世间所有的财富和人际关系，但仍未脱离轮回。最后一次，吴辰想通刷所有曾干过的事，没想到一天之内竟完成七七八八，随后准备再去救苏清影，和她有了一夜欢愉，惊喜地发现自己跳脱了轮回。,"千年轮回,知识财富,脱离轮回,一夜欢愉",,,85,85.0
21,琅琊,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649467427008513_new_17308154081775544.jpg, 《琅琊》是一部网络短剧，由沈月辉和林辰主演。该剧讲述了林辰饰演的角色原本是一个家破人亡的孤儿，打算窝窝囊囊过完一生，但经历了被妻子杨若兮逐出家门的打击后，他选择做出了改变。 剧情中，林辰饰演的角色在出国3年后准备回国给老婆一个惊喜，却没想到一下飞机就收到了妻子的离婚协议，并且遭到了妻子的百般羞辱。妻子声称自己在短短两年时间内将集团打造成市值百亿的顶流家族，而林辰则一事无成。然而，事实上林辰是万人之上的琅琊王，全市最大的荆门集团还要对他投资千亿，预示着他即将一飞冲天。,,电影,,94,94.0
22,四宝特攻妈咪准备出击$喜从天降我的孩子是大佬$雷霆四宝爹地举起手来,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642840982601729_17310697869365075.jpg, 《四宝特攻妈咪准备出击》是一部网络短剧，由唐玥主演，首发在抖音短剧平台上。该剧讲述了一个关于母爱和特工的故事：六年前，唐玥被唐芊芊算计，在酒吧内被灌醉后与一陌生男子发生了一夜情。六年后，她的孩子亲生父亲，凌家掌门人，却要与唐芊芊结婚。得知这一消息的唐玥赶回国内，她的孩子们也都各具天赋：大哥修炼道法，老二是天才黑客，老三是绝世神医。三位乖宝齐上阵，他们决心不让害妈咪的坏女人和爹地结婚。唐玥原本是一名国家系的特工，月前复完婚后一直投身于危险的任务，在经历了孩子的危机后，她决定专心守护这个从未给予足够关爱的孩子,,电影,,84,84.0
23,神级君主,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649377924755458_new_17308127599870596.jpg, 男人属下告知边疆告急请他出山，男人却以身残为由拒绝，称天下事与己无关。属下提及三年前他被陷害一事仍在调查，男人依旧推着轮椅离开。属下递出带有 “青” 的牌子。这位神级君主究竟有着怎样的过往？他会因边疆危机或牌子改变心意吗？充满悬念的故事，展现出男人的神秘与纠结，开启一段惊心动魄的传奇之旅。,,电影,,85,85.0
24,我的师姐是大佬,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642774511398914_17310634303911998.jpg, 龙涎山河山居，方年身处大厅，东关林家携黄金十万聘礼提亲，北关周氏集团以一万支股权求亲，漠北方家也送来才貌双全的女儿及上亿资产嫁妆。方年看着桌上十本婚约，陷入抉择。各方势力汇聚，情感与利益交织。在这风云变幻之地，方年该何去何从？一场充满悬念与挑战的故事即将展开，令人期待他的抉择与未来的发展。,,电影,,70,70.0
25,悬崖上的黑玫瑰,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642767442046977_17310809420261493.jpg, 《悬崖上的黑玫瑰》讲述了一个充满阴谋与复仇的故事。十六年前，一对贪婪的夫妻为获取保险金，竟狠心将双胞胎推下悬崖。然而，命运弄人，女儿奇迹般存活。十六年后，她带着满腔仇恨归来，化身为家庭教师潜入曾经的家。她步步为营，在复仇的道路上，内心却饱受煎熬。爱与恨的交织，正义与邪恶的较量，她能否成功复仇？又能否在仇恨中找到救赎？一场惊心动魄的复仇大戏，即将上演。,,电影,,101,101.0
26,全球污染，我靠矿泉水成为首富,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649365811605506_new_173081285769007.jpg, 穷小伙为了展示实力，竟把一垃圾袋矿泉水倒在了桌子上，不料此举却震惊了所有人，有人甚至拿出了价值百亿的尊贵黑卡请求交换。原来全世界都遭到了核废水的污染，而矿泉水就成了堪比黄金的存在..,,电影,,100,100.0
27,特种奶爸开局萌娃带我去相亲,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649463824101378_new_1730815465283556.jpg, 《特种奶爸开局萌娃带我去相亲》是一部中国大陆的短剧，主要讲述了楚峰这位曾经的战区百万儿影武者心中的王者，在经历了惊天一战后失去了心爱的女人，心如死灰，自封实力，成为了一个奶爸。一天，他和女儿小七在外玩耍时偶遇帝豪集团总裁李雪烟，由于一系列的误会和巧合，两人直接领证结婚。楚峰成为了李雪烟的丈夫兼保镖，卷入了一系列的纷争和危险之中。他们不仅要面对龙家的敌对和绑架，还要应对来自暗影组织的全球悬赏令。在楚峰的带领下，他们平息了帝豪集团的暴乱篡位，但危险和麻烦并未完全解除。,,电影,,79,79.0
28,崎寂酒吧,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649444995870721_new_1730813534374212.jpg, 美女外卖到了，美女出来对小哥哥说是我叫的外卖，人家屋里有好大一只蟑螂，人家好害怕，把人家把蟑螂打死在走啊，我去帮你叫物业，哎呀，小哥哥，人家这里刚刚被吓的狂叫，帮人家抓到嘛，人家好害怕，我还有其他外卖要送，我走了，哇，那个我有女朋友，你让我走吧好吗？弟弟放到嘴边的野发你都不采，错过你可别后悔啊。哎，美女，我还有其他单要送，超时是要被投诉的，你换个人去寻开心好不好？你如果现在走的话，我一样会投诉你的，你让我走吧，小哥哥，真好，美女，我可不是这种人，你让我走吧……,,电影,,100,100.0
29,逍遥医仙之为爱犯难,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649440294055937_new_1730813348068234.jpg, 男人走进办公室说来雨桐，吃完这次药膳就能痊愈了，来，趁热，这时女人转过身男人才看到坐在老板椅上的人并不是自己要找的雨桐，而是她的闺蜜，便问你怎么在这，女人说你不会不知道雨桐开会去了吧？我特意在这里等你，你有什么事情？你和雨桐都结婚一年了，她居然还是个处女，那么你不会是不行吧，这是我和雨桐的事情，还是说你对她根本就不感兴趣？不如考虑一下我怎么样啊，男人一把推开女人说不怎么样，我只是怕你不小心弄撒了我给雨桐带的药膳……,,电影,,90,90.0
30,热辣女侠之扰乱风云,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642840088154114_1731070302555145.jpg," 《热辣女侠之扰乱风云》是一部77集的短剧，讲述了一个关于逆袭和传奇的故事。剧中的女主角是一位女侠，她凭借勇气和智慧在短剧中混得风生水起，成功逆袭。这部剧以其紧凑的剧情和引人入胜的情节赢得了观众的热烈反响，展现了女侠的魅力和力量。
剧情主要围绕女主角沈青炎展开，她是一个看似外表柔弱的女生，实际上是臭名昭著且以暴力著称的园区的新员工。沈青炎强势地表示自己要做园区的王，并在同园区的强者中不断打败并收服他们，建立了青木最强势力野火。在一次次案件中，沈青炎背水一战，为铲除邪恶奋力一搏。
此外，该剧还融合了科幻、动作和悬疑元素，讲述了在一座被黑暗笼罩的城市中，一名年轻的警察与一位神秘的女孩联手展开拯救行动的故事。女孩是一位来自未来的逃亡者，带着关乎整个人类命运的重要信息。两人在追逐和对抗中渐渐产生了情感纠葛，同时也遭遇了来自未来的特工团队的追捕。在不断的危机中，他们不断突破自我，最终揭露了隐藏在城市背后的惊天阴谋。",,电影,,77,77.0
31,卦妃天下,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649371209674753_new_17308138000152857.jpg, 《卦妃天下》黎国风水大祭司洛泱穿越成天阙国摄政王妃洛柠。她惊觉摄政王傅景宸被迷魂蛊操控，即将沦为行尸走肉，且摄政王府布有引雷阵、聚煞大阵等凶险之物。洛柠凭借风水之术，开启拯救之旅。她能否破解重重危机，改变傅景宸的命运？一场充满奇幻与惊险的故事在摄政王府上演，洛柠能否成为真正的卦妃，掌控天下风水格局？,,电影,,96,96.0
32,双宝助攻之傅总甜妻从天降,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649375613693953_new_17308133998773432.jpg, 5 岁小女孩随妈咪回国找爹地，刚出机场，小男孩晕倒在面前。母女查看无果，女人按名片号码打给小男孩家人。一场奇妙的相遇就此展开。双宝能否成功找到爹地？他们又将面临怎样的故事？在这个充满惊喜与未知的旅程中，甜妻与总裁的命运交织，开启一段浪漫又充满挑战的故事，令人期待他们的发展。,,电影,,89,89.0
33,月是故乡明,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642795036372994_1731012720457179.jpg, 安沫，幼年时期叫许宝宝，是许家的千金小姐，却在一次和父母哥哥旅游的时候遭遇山火，父母在危险的情况下选择了救哥哥而抛弃安沫。安沫幸运活下来后被养母安素心所救，成为安素心的女儿。十四年后，安沫工作后意外成为亲哥哥许清越的下属，因为误会许清越认为安沫是来勾引自己的拜金女，对其肆意虐待。安沫因为小时候被抛弃，长大后又被哥哥针对，心灰意冷丢掉了从小佩戴的玉佩，刚好被心机女白小小捡到，白小小趁机冒充安沫身份成为了许家的千金.....,,电影,,85,85.0
34,开局预测地震我成为全球救世主,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649441388769282_new_17308134630955293.jpg, 小伙一边开车一边刷着星空讲解的短剧，完全没留意到面前即将过马路的四大年夜美男。眼看即将撞上时，小伙及时发明，踩下刹车，等他缓过神来时，却发明他们头上有个电量，他认为是本身目眩了，就揉了揉眼睛，成果却发明本身所看到的都是真的。而差点被撞的四大年夜美男想要过来臭骂笑，怎料下一秒他们就被飞奔而来的汽车撞了。等警察来到现场，小伙就将工作的经由告诉他们，你是怎么一眼看得出他们的伤情的？我是看他们头上的电量，有两小我是红色的，可警察却告诉小伙，那两个美男伤势过重，已经逝世去，他们认为小伙是受到了刺激才说出如许的，于是就决定放过他分开了变乱现场。而小伙这才知道本身看到的电量图是真的，头上的电量越低，则代表这小我在什么时刻逝世去。就在这时，一位乞丐来到小伙面前乞讨，小伙见状便拿出身上的10块钱丢给他，就在他们接触的一刹时，产生了一道电源……,,电影,,67,67.0
35,饼总逆袭,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642825029840898_17310608473801684.jpg, 汉子一觉惊醒，却发明本身还活着，困惑地说道我这是逝世了照样病好了？这是哪儿啊，我不是逝世了吗，说着还打了本身一巴掌，感到到疼解释不是在做梦，想着汉子大年夜喊弓足，弓足？说着便要起身去找本身要找的弓足，可当汉子照到玻璃镜子的时刻发明本身的这张脸根本就不是本身的，我我这是。难道我投胎转世了？就在汉子好奇时，浴室的门忽然打开，里面出现的恰是弓足，然则并不是只有弓足一小我，和弓足一路出来的还有一个汉子……,,电影,,100,100.0
36,眼泪女皇,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649447311126529_new_17308152219164035.jpg, 裴之之因车祸不幸掉明，居然还要和一只鸡拜堂成亲，本来女人掉明后一向寄养在表妹家里，女人的舅妈据说傅家招儿媳妇，舅妈就把女人卖去傅家成亲，没想到傅家的总裁本来是身患大年夜病晕厥不醒婆婆就找来了一只鸡和女人成亲，就在婚礼进行一半的时刻婆婆据说总裁醒了就立马赶往病院，留下女人本身一小我在场，就在这时女人的表妹居然当场耻辱女人，就连总裁的表弟都想对女人不轨，女人不测撞到头晕了以前....,,电影,,80,80.0
37,大佬娇妻惹不得,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649392638373890_new_1730812814982309.jpg, 几天前总裁被竞争敌手下药，刚巧在大年夜街上碰见闭月羞花的女人，于是他二话不说夺走女人的初吻来解毒，怎料女人厌弃的将他推倒，却不测发明他中了剧毒，谁曾想女人照样医术高超的神医，本着医者仁心的立场将总裁救了回来，然则没想到父亲此时给他安排了一门婚事，竟是全城人人害怕的霍家，没想到女人据说后竟欣然接收，本来女人下山前服从师傅的敕令，预备从霍家拿回至关重要的瑰宝，所以即便据说霍家总裁是个双腿残疾的怪人，女人也接收了...,,电影,,100,100.0
38,借神,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642827937255426_17310682943571644.jpg, 一夜，小镇笼罩在神秘的黑暗中。居民们惊恐地发现，他们的影子变得活灵活现，有了自己独立的思维和意识。一个年轻的摄影师，艾丽丝，偶然间发现她的照片中出现了一张神秘的影子，完全不同于她的外貌。,,电影,,95,95.0
39,黑域至尊,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649430429052930_new_17308144485928893.jpg, 她在七姐家中接到亲生女儿的求救德律风，世人才知道这个其貌不扬的大年夜排档老板竟然是传说中鼎鼎大年夜名的地下黑皇。本来3年前，汉子的老婆其实受不了这种心惊肉跳的生活，最终忍无可忍的跟汉子提了离婚，并且带走他们独一的瑰宝女儿。就如许，妻离子散家破人亡的汉子最终下定决心，从此金盆洗手，改过改过，好好做人。就在这一天，汉子正在快快活乐地炒菜时，只见一个腿长的绝世美男从车里走了下来，娇滴滴的美男走到汉子身边时，竟产生了让人意想不到的一面……,,电影,,99,99.0
40,冒牌医圣,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642815756234754_1731067245148683.jpg, 小伙送快递供女友上完了三年大年夜学，可到头来女友却要跟300斤的首富在一路。为了让小伙输得心服口服，首富还拿出20万耻辱小伙，不虞却被拜金的女友揣进了兜里，因为她认为像小伙如许的底层人，打发500就算开恩了。小伙当即认为欺人太过，可当他预备跟首富单挑时，不虞却被保镖拦了下来。下一秒，小伙还挨了首富一巴掌，首富逼着小伙从本身的腿下钻过来，如许就能放他一马。小伙也是一条铁骨铮铮的硬汉，他趁保镖不留意冲以前撞倒首富，可当他捏起拳头砸下去的时刻，却被逝世后的保镖一棍子打晕……,,电影,,78,78.0
